DIVISION,CLASE,ORDEN,FAMILIA,GENERO,ESPECIE,N_COMUN
CHORDATA,ACTINOPTERYGII,BELONIFORMES,BELONIDAE,Ablennes,Ablennes hians,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Aboma,Aboma etheostoma,
CHORDATA,ACTINOPTERYGII,CHARACIFORMES,ANOSTOMIDAE,Abramites,Abramites eques,
CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,Abrocoma cinerea,
CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,Abrothrix andinus,
CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrothrix,Abrothrix jelskii,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Abudefduf,Abudefduf concolor,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Abudefduf,Abudefduf saxatilis,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Abudefduf,Abudefduf taurus,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Abudefduf,Abudefduf troschelii,
CHORDATA,AVES,GALLIFORMES,CRACIDAE,Aburria,Aburria aburri,
CHORDATA,ACTINOPTERYGII,OPHIDIIFORMES,OPHIDIIDAE,Abyssobrotula,Abyssobrotula galatheae,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria aspera,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria balanorum,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria betinensis,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria castroi,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria exilispinus,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria greenfieldi,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria hancocki,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria johnsoni,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria maria,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria medusa,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria rivasi,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria spinosa,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAENOPSIDAE,Acanthemblemaria,Acanthemblemaria stephensi,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Acanthistius,Acanthistius pictus,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Acanthocybium,Acanthocybium solandri,
CHORDATA,ACTINOPTERYGII,OPHIDIIFORMES,OPHIDIIDAE,Acanthonus,Acanthonus armatus,
CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,OSTRACIIDAE,Acanthostracion,Acanthostracion polygonius,
CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,OSTRACIIDAE,Acanthostracion,Acanthostracion quadricornis,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,Acanthurus chirurgus,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,Acanthurus coeruleus,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,Acanthurus nigricans,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,Acanthurus tractus,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,Acanthurus triostegus,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,Acanthurus xanthopterus,
CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,Accipiter bicolor,
CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,Accipiter collaris,
CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,Accipiter cooperii,
CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,Accipiter poliogaster,
CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,Accipiter striatus,
CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,Accipiter superciliosus,
CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE,Acentronura,Acentronura dendritica,
CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,LINOPHRYNIDAE,Acentrophryne,Acentrophryne dolichonema,
CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,LINOPHRYNIDAE,Acentrophryne,Acentrophryne longidens,
CHORDATA,ACTINOPTERYGII,CHARACIFORMES,CHARACIDAE,Acestrocephalus,Acestrocephalus anomalus,
CHORDATA,ACTINOPTERYGII,CHARACIFORMES,CHARACIDAE,Acestrocephalus,Acestrocephalus boehlkei,
CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,ACHIRIDAE,Achirus,Achirus achirus,
CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,ACHIRIDAE,Achirus,Achirus declivis,
CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,ACHIRIDAE,Achirus,Achirus klunzingeri,
CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,ACHIRIDAE,Achirus,Achirus lineatus,
CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,ACHIRIDAE,Achirus,Achirus mazatlanus,
CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,ACHIRIDAE,Achirus,Achirus scutum,
CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,CONGRIDAE,Acromycter,Acromycter atlanticus,
CHORDATA,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Acropternis,Acropternis orthonyx,
CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Actitis,Actitis macularius,
CHORDATA,ACTINOPTERYGII,GOBIESOCIFORMES,GOBIESOCIDAE,Acyrtops,Acyrtops beryllinus,
CHORDATA,ACTINOPTERYGII,GOBIESOCIFORMES,GOBIESOCIDAE,Acyrtus,Acyrtus artius,
CHORDATA,ACTINOPTERYGII,GOBIESOCIFORMES,GOBIESOCIDAE,Acyrtus,Acyrtus rubiginosus,
CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Adelastes,Adelastes hylonomos,
CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Adelomyia,Adelomyia melanogenys,
CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,Adelophryne adiastola,
CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,Adelophryne gutturosa,
CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Adelphobates,Adelphobates quinquevittatus,
CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,Adenomera andreae,
CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,Adenomera hylaedactyla,
CHORDATA,REPTILIA,SQUAMATA,GYMNOPHTHALMIDAE,Adercosaurus,Adercosaurus vixadnexus,
CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Aegialomys,Aegialomys galapagoensis,
CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Aegialomys,Aegialomys xanthaeolus,
CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Aegolius,Aegolius harrisii,
CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Aepeomys,Aepeomys lugens,
CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Aepeomys,Aepeomys reigi,
CHORDATA,ACTINOPTERYGII,PERCIFORMES,CICHLIDAE,Aequidens,Aequidens patricki,
CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Aeronautes,Aeronautes andecolus,
CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Aeronautes,Aeronautes montivagus,
CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,Agalychnis buckleyi,
CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,Agalychnis callidryas,
CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,Agalychnis danieli,
CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,Agalychnis hulli,
CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,Agalychnis lemur,
CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,Agalychnis medinae,
CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,Agalychnis psilopygion,
CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,Agalychnis spurrelli,
CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,Agalychnis terranova,
CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Agamia,Agamia agami,
CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Agelasticus,Agelasticus thilius,
CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Agelasticus,Agelasticus xanthophthalmus,
