ID_MUES_PT,ESPECIE,ABUND_ABS,OBSERV,Tipo de evento,Hora de registro,Registro fotografico (Si X),DETERM,OTDETERM
10,Tangara palmarum,1,Avistado durante monitoreo de fauna Piscina 1889,Avistamiento,8:29:00,,Observación,
100,Engystomops pustulosus,1,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,8:00:00,X,Otro,Nido de espuma
100,Tringa solitaria,1,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,8:00:00,,Observación,
101,Crypturellus soui,1,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,8:01:00,,Detección auditiva,
101,Campylorhynchus griseus,2,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,8:01:00,,Observación,
102,Melanerpes rubricapillus,1,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,8:05:00,,Detección auditiva,
103,Pitangus sulphuratus,1,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,8:12:00,,Detección auditiva,
103,Myiozetetes cayanensis,2,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,8:12:00,,Detección auditiva,
103,Saltator maximus,2,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,8:12:00,,Detección auditiva,
103,Campylorhynchus griseus,2,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,8:12:00,,Detección auditiva,
104,Engystomops pustulosus,1,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,8:14:00,X,Observación,
105,Cerdocyon thous,2,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,8:16:00,X,Huellas,
106,Stelgidopteryx ruficollis,2,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,9:04:00,X,Observación,
107,Tyrannus melancholicus,1,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,9:07:00,,Observación,
108,Columbina talpacoti,2,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,9:11:00,,Observación,
108,Ramphocelus dimidiatus,2,Avistados posterior a cierre de labores de recuperación IANR Orlando Santos II,Avistamiento,9:11:00,,Observación,
109,Crotophaga ani,12,Avistados durante obras finales IANR Abelardo Domínguez,Avistamiento,8:45:00,,Observación,
11,Myiozetetes cayanensis,1,Avistado durante monitoreo de fauna Piscina 1889,Avistamiento,8:32:00,,Detección auditiva,
11,Tyrannus melancholicus,1,Avistado durante monitoreo de fauna Piscina 1889,Avistamiento,8:32:00,,Observación,
110,Jacana jacana,1,Avistados durante obras finales IANR Abelardo Domínguez,Avistamiento,8:53:00,,Observación,
111,Saltator maximus,2,Avistados durante obras finales IANR Abelardo Domínguez,Avistamiento,9:04:00,,Observación,
111,Jacana jacana,3,Avistados durante obras finales IANR Abelardo Domínguez,Avistamiento,9:04:00,,Observación,
111,Scarthyla vigilans,3,Avistados durante obras finales IANR Abelardo Domínguez,Avistamiento,9:04:00,,Detección auditiva,
111,Campylorhynchus griseus,3,Avistados durante obras finales IANR Abelardo Domínguez,Avistamiento,9:04:00,,Observación,
111,Tangara episcopus,4,Avistados durante obras finales IANR Abelardo Domínguez,Avistamiento,9:04:00,,Observación,
112,Chauna chavaria,1,Avistado durante obras finales IANR Abelardo Domínguez,Avistamiento,9:09:00,X,Observación,
112,Tangara palmarum,2,Avistados durante obras finales IANR Abelardo Domínguez,Avistamiento,9:09:00,,Observación,
113,Tyrannus melancholicus,1,Avistado durante obras finales IANR Abelardo Domínguez,Avistamiento,9:12:00,X,Observación,
114,Caiman crocodilus,1,Avistado durante obras finales IANR Abelardo Domínguez,Avistamiento,9:19:00,,Observación,
114,Scarthyla vigilans,2,Avistados durante obras finales IANR Abelardo Domínguez,Avistamiento,9:19:00,,Detección auditiva,
