VEREDA,MUNICIPIO,DEPTO,NOMBRE,ID_MUES_PT,N_COBERT,NOMENCLAT,T_MUEST,HABITAT,DESCRIP,FEC_MUEST,ESTACIONAL,CUERPO_AGU,COTA,COOR_ESTE,COOR_NORTE,GERENCIA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,463,Zonas Pantanosas,411,Puntual,Zona inundable,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,73,4907191,2350069,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,465,Zonas Pantanosas,411,Puntual,Zona inundable,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,75,4906918,2350075,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,466,Zonas Pantanosas,411,Puntual,Zona inundable,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,76,4907184,2350084,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,468,Zonas Pantanosas,411,Puntual,Zona inundable,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,76,4906993,2350109,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,469,Zonas Pantanosas,411,Puntual,Zona inundable,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,76,4907151,2350114,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,471,Zonas Pantanosas,411,Puntual,Zona inundable,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,77,4907286,2350266,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,472,Zonas Pantanosas,411,Puntual,Zona inundable,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,76,4907175,2350095,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,473,Zonas Pantanosas,411,Puntual,Estrato arbóreo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,74,4907205,2350056,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,474,Zonas Pantanosas,411,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,86,4907310,2350109,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,476,Mosaico de pastos con espacios naturales,244,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,83,4907533,2350302,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,478,Zonas Pantanosas,411,Puntual,Zona inundable,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,82,4907142,2350212,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,479,Zonas Pantanosas,411,Puntual,Zona inundable,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,82,4906881,2350338,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,480,Mosaico de pastos con espacios naturales,244,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,76,4907594,2350299,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,481,Mosaico de pastos con espacios naturales,244,Puntual,Estrato arbóreo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,76,4907681,2350348,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,482,Tierras desnudas y degradadas,333,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,71,4907668,2350404,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,483,Zonas industriales,1211,Puntual,Estrato arbóreo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,70,4907755,2350430,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,484,Vegetación Secundaria Baja,3232,Puntual,Estrato herbáceo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,74,4907788,2350445,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,485,Vegetación Secundaria Baja,3232,Puntual,Estrato herbáceo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,87,4907814,2350459,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,486,Vegetación Secundaria Baja,3232,Puntual,Estrato herbáceo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,73,4907835,2350492,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,487,Mosaico de pastos con espacios naturales,244,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,65,4907910,2350182,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,488,Mosaico de pastos con espacios naturales,244,Puntual,Estrato herbáceo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,60,4907800,2350242,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LA MACARENA,490,Mosaico de pastos con espacios naturales,244,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-08,Medio,,60,4907620,2350336,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LLANITO 86,491,Zonas Pantanosas,411,Puntual,Estrato arbóreo,Busqueda libre por inspección visual al azar,2021-03-09,Medio,,73,4908193,2351328,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LLANITO 86,493,Zonas Pantanosas,411,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-09,Medio,,73,4907911,2351309,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LLANITO 86,494,Zonas Pantanosas,411,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-09,Medio,,73,4907902,2351367,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LLANITO 86,495,Zonas Pantanosas,411,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-09,Medio,,73,4907987,2351246,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LLANITO 86,496,Zonas Pantanosas,411,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-09,Medio,,73,4907990,2351321,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LLANITO 86,497,Zonas Pantanosas,411,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-09,Medio,,73,4908089,2351379,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LLANITO 86,499,Pastos enmalezados,233,Puntual,Estrato arbóreo,Busqueda libre por inspección visual al azar,2021-03-09,Medio,,73,4908455,2351366,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LLANITO 86,500,Pastos enmalezados,233,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-09,Medio,,73,4908416,2351444,GMA
V. LLANITO ALTO,BARRANCABERMEJA,SANTANDER,IANR LLANITO 86,502,Pastos enmalezados,233,Puntual,Estrato arbustivo,Busqueda libre por inspección visual al azar,2021-03-09,Medio,,74,4908517,2351217,GMA
